# Redshift evolution of the volume-averaged He III fraction
# considering AGN with M_{1450} < -18 and M_{1450} < -18 from the
# model presented in Kulkarni, Worseck, and Hennawi 2018
# (arXiv:1807.09774 [astro-ph.GA]), Figure 11.
#
# Column 1: z
# Column 2: Q_HeIII with M_{1450} < -18 AGN
# Column 3: Lower bound on column 2 (68.26% equal-tailed credible interval)
# Column 4: Upper bound on column 2 (68.26% equal-tailed credible interval)
# Column 5: Q_HeIII with M_{1450} < -21 AGN 
# Column 6: Lower bound on column 5 (68.26% equal-tailed credible interval)
# Column 7: Upper bound on column 5 (68.26% equal-tailed credible interval)
z         Q_HeIII_18  Q_HeIII_18_l  Q_HeIII_18_u  Q_HeIII_21    Q_HeIII_21_l  Q_HeIII_21_u
10.450  3.251772e-06  1.722773e-07  5.634889e-05  1.224128e-06  1.946222e-07  5.501224e-06
10.438  3.335540e-06  1.776389e-07  5.741978e-05  1.254578e-06  2.002329e-07  5.620976e-06
10.426  3.421327e-06  1.831634e-07  5.850960e-05  1.285655e-06  2.059998e-07  5.743079e-06
10.414  3.509168e-06  1.888506e-07  5.961866e-05  1.317360e-06  2.119231e-07  5.867566e-06
10.402  3.599097e-06  1.947005e-07  6.074726e-05  1.349692e-06  2.180027e-07  5.994469e-06
10.390  3.691150e-06  2.007133e-07  6.189572e-05  1.382652e-06  2.242386e-07  6.123930e-06
10.378  3.785361e-06  2.068888e-07  6.306433e-05  1.416239e-06  2.306309e-07  6.256173e-06
10.366  3.881766e-06  2.132271e-07  6.425341e-05  1.450454e-06  2.371794e-07  6.391257e-06
10.354  3.980584e-06  2.197281e-07  6.546327e-05  1.485386e-06  2.438842e-07  6.529241e-06
10.342  4.081991e-06  2.263920e-07  6.669423e-05  1.521356e-06  2.507454e-07  6.670184e-06
10.330  4.186052e-06  2.332186e-07  6.794704e-05  1.558391e-06  2.577629e-07  6.814145e-06
10.318  4.292831e-06  2.402079e-07  6.922220e-05  1.596492e-06  2.649366e-07  6.961182e-06
10.306  4.402394e-06  2.473601e-07  7.052011e-05  1.635657e-06  2.722667e-07  7.111355e-06
10.294  4.514806e-06  2.546750e-07  7.184116e-05  1.675888e-06  2.797531e-07  7.264722e-06
10.282  4.630132e-06  2.621526e-07  7.318572e-05  1.717184e-06  2.873958e-07  7.421341e-06
10.270  4.748437e-06  2.697931e-07  7.455420e-05  1.759545e-06  2.951949e-07  7.581272e-06
10.258  4.869786e-06  2.775963e-07  7.594698e-05  1.802971e-06  3.031502e-07  7.744572e-06
10.246  4.994244e-06  2.855623e-07  7.736444e-05  1.847462e-06  3.112619e-07  7.911302e-06
10.234  5.121877e-06  2.937751e-07  7.880698e-05  1.893019e-06  3.195328e-07  8.081520e-06
10.222  5.252749e-06  3.023395e-07  8.027498e-05  1.939640e-06  3.280874e-07  8.255283e-06
10.210  5.386926e-06  3.112556e-07  8.176883e-05  1.987327e-06  3.369915e-07  8.432652e-06
10.198  5.524472e-06  3.205235e-07  8.328892e-05  2.036079e-06  3.462451e-07  8.613685e-06
10.186  5.665452e-06  3.301431e-07  8.483563e-05  2.085897e-06  3.558481e-07  8.798440e-06
10.174  5.809932e-06  3.401145e-07  8.640936e-05  2.136779e-06  3.658007e-07  8.986977e-06
10.162  5.957977e-06  3.504377e-07  8.801052e-05  2.188727e-06  3.761027e-07  9.179353e-06
