#,NAME,dm,P0,RAJD,DECJD
,(cm^-3,pc),(s),(deg),(deg),
192,J0534-6703,mfl+06,94.7,12,mfl+06,1.81756503106,17,mfl+06,83.65071,-67.06356,
193,J0535-66,rcl+13,75,1,rcl+13,0.210524357,30,rcl+13,83.91667,-66.86667,
194,J0535-6935,ckm+01,93.7,4,mfl+06,0.20051133,2,mfl+06,83.75000,-69.58333,
195,B0538-75,mlt+78,18.58,2,pkj+13,1.24585559629,5,smd93,84.12829,-75.73242,
196,J0537-69,rcl+13,273,1,rcl+13,0.112613212,20,rcl+13,84.42917,-69.35000,
197,J0537-6910,mgz+98,*,0,*,0.0161222220245,4,mgm+04,84.44757,-69.17219,
198,J0538+2817,fcwa95,39.570,1,lwf+04,0.14315825891177,11,klh+03,84.60440,28.28588,
199,J0540+3207,cfl+06,61.97,4,nab+13,0.5242708632083,5,nab+13,85.15465,32.12703,
200,B0540-69,shh84,146.5,2,jr03,0.0505697030222,18,fak15,85.04667,-69.33171,
201,J0540-7125,lml+98,29.41,7,dsb+98,1.286014595,3,dsb+98,85.12833,-71.42539,
202,J0542-68,rcl+13,114,5,rcl+13,0.42518900,72,rcl+13,85.64583,-68.26667,
203,B0540+23,dls72,77.7026,10,bkk+16,0.2459747688901,19,hlk+04,85.79025,23.48472,
204,J0543-6851,mfl+06,131,4,mfl+06,0.70895418575,6,mfl+06,85.96963,-68.85703,
205,J0544+20,dsm+16,56.9,0,dsm+16,*,0,*,86.05000,20.83333,
206,J0545-03,kkl+15,67.2,4,kkl+15,1.07393,2,kkl+15,86.25000,-3.16667,
207,J0546+2441,clm+05,73.81,3,clm+05,2.84385038524,6,clm+05,86.61983,24.68917,
208,J0550+09,dsm+16,86.6,0,dsm+16,1.745,0,dsm+16,87.61667,9.85000,
209,J0554+3107,pga+13,*,0,*,0.464960965736,16,pga+13,88.52088,31.12806,
210,J0555+3948,bck+13,37,0,bck+13,1.1469058,2,bck+13,88.75000,39.80000,
211,J0555-7056,mfl+06,73.4,16,mfl+06,0.82783808575,7,mfl+06,88.75771,-70.94600,
212,J0557+1550,skl+15,102.5723,5,skl+15,0.0025563670767829,6,skl+15,89.38104,15.83501,
213,J0557-2948,kmk+18,49.05,1,kmk+18,0.0436426389000,3,kmk+18,89.38750,-29.80467,
214,B0559-57,mlt+78,30,8,nmc81,2.261364513,3,nmc81,90.19375,-57.94833,
215,B0559-05,mlt+78,80.538,5,hlk+04,0.3959691695432,5,hlk+04,90.49576,-5.46404,
216,J0605+3757,san16,20.9462,4,san16,0.0027279541573939,5,san16,91.27310,37.95999,
217,J0608+00,dsm+13,48,0,dsm+13,1.0762,0,dsm+13,92.20417,0.65000,
218,J0609+2130,lxf+05,38.73,2,lxf+05,0.05569801392951,2,lxf+05,92.49536,21.50079,
219,J0610-2100,bjd+06,60.6662,17,bjd+06,0.0038613247042986,6,bjd+06,92.55665,-21.00776,
220,J0611+04,dsm+16,69.9,0,dsm+16,1.67443,0,dsm+16,92.82500,4.10000,
221,J0611+1436,lsb+17,45.7,7,lsb+17,0.27032946262,3,lsb+17,92.82770,14.61444,
222,J0611+30,cnst96,45.2551,16,bkk+16,1.412090,3,cnst96,92.81667,30.26667,
223,B0609+37,stwd85,39.270,6,lsk+18,0.443871367665,20,lsk+18,93.18376,37.36117,
224,J0612+3721,slr+14,39,2,slr+14,0.443861,14,slr+14,92.75000,37.30000,
225,J0613-0200,lnl+95,38.77919,6,hbo06,0.003061844040962330,9,abb+18,93.43323,-2.01312,
226,J0613+3731,cvh+14,18.990,12,cvh+14,0.61919818110,7,cvh+14,93.30063,37.52731,
227,B0611+22,dls72,96.91,4,pkj+13,0.33495996611,16,hlk+04,93.57150,22.51000,
228,J0614-3329,rrc+11,37.049,1,rrc+11,0.003148669579439,9,rrc+11,93.54312,-33.49837,
229,J0614+83,slr+14,44,1,slr+14,1.039203,51,slr+14,93.50000,83.23333,
230,J0621+0336,bkl+13,72.59,13,bkl+13,0.2699540683678,9,bkl+13,95.29675,3.61264,
231,J0621+1002,cnst96,36.47,3,dcl+16,0.0288538611940574,16,dcl+16,95.34214,10.04409,
232,J0621+2514,san16,83.629,6,san16,0.0027217879391872,4,san16,95.29523,25.23440,
233,J0621-55,kbj+18,22,0,kbj+18,*,0,*,95.17500,-56.08333,
234,J0622+3749,pga+12,*,0,*,0.333208231801,6,pga+12,95.54379,37.82044,
235,J0623+0340,bkl+13,54,4,bkl+13,0.613759600022,7,bkl+13,95.94483,3.66856,
236,B0621-04,mlt+78,70.835,11,hlk+04,1.0390764758510,15,hlk+04,96.08345,-4.41401,
237,J0625+10,cnst96,78,15,cnst96,0.498397,3,cnst96,96.43750,10.26667,
238,J0627+0649,bkl+13,86.60,8,bkl+13,0.346522567131,13,bkl+13,96.97345,6.83170,
239,J0627+0706,cha03,138.25,7,pkj+13,0.47587411456,12,bfrs18,96.93424,7.10353,
240,J0627+16,dcm+09,113,0,dcm+09,2.180,0,dcm+09,96.80417,16.20000,
241,J0628+0909,cfl+06,88.3,2,nab+13,1.241421391299,3,nab+13,97.15076,9.15386,
242,B0626+24,dth78,84.1762,50,bkk+16,0.476622836038,4,hlk+04,97.27387,24.26203,
243,J0630-0046,bkl+13,97.3,5,bkl+13,0.680574832268,7,bkl+13,97.61232,-0.76829,
244,J0630+19,dsm+16,48.1,0,dsm+16,1.24855,0,dsm+16,97.51667,19.61667,
245,B0628-28,lvw69a,34.425,1,srb+15,1.24441859615,8,hlk+04,97.70585,-28.57855,
246,J0631+0646,cwp+17,*,0,*,0.1109789432160,8,cwp+17,97.96825,6.77061,
247,J0631+1036,zcwl96,125.36,1,waa+10,0.287800021959,9,ywml10,97.86468,10.61736,
248,J0633+0632,aaa+09c,*,0,*,0.29739519058,7,rkp+11,98.43421,6.54303,
249,J0633+1746,hh92,2.89,2,mmtl15,0.2370994416923,20,jh05,98.47564,17.77025,
